incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude,incident_datetime_parsed,incident_year_rx,incident_month_rx,incident_year_month_rx,incident_year_month_date_rx
2024-01-30T22:45:00Z,2024-01-30T00:00:00Z,22:45:00,2024,Tuesday,2024-01-31T15:30:00Z,136187606224,1361876,246013015,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,VALENCIA ST \ MISSION ST,21338000,Ingleside,Bernal Heights,9,9,37.74538803100586,-122.4200210571289,2024-01-30T22:45:00Z,2024,Jan,2024-Jan,2024-01-01
2024-02-04T12:00:00Z,2024-02-04T00:00:00Z,12:00:00,2024,Sunday,2024-02-04T16:36:00Z,136177306244,1361773,240077166,240352197,II,Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,JACKSON ST \ COLUMBUS AVE,24766000,Central,Chinatown,3,3,37.79630279541016,-122.40441131591795,2024-02-04T12:00:00Z,2024,Feb,2024-Feb,2024-02-01
2024-12-31T00:01:00Z,2024-12-31T00:00:00Z,00:01:00,2024,Tuesday,2024-12-31T15:38:00Z,145762106244,1457621,246169301,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BERGEN ALY \ HYDE ST,25578000,Central,Russian Hill,2,2,37.80523681640625,-122.42027282714844,2024-12-31T00:01:00Z,2024,Dec,2024-Dec,2024-12-01
2024-12-31T10:30:00Z,2024-12-31T00:00:00Z,10:30:00,2024,Tuesday,2025-01-02T21:13:00Z,145764306244,1457643,250000997,NA,IS,Coplogic Supplement,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BAY ST \ MASON ST,25473000,Central,North Beach,3,3,37.80561828613281,-122.41360473632812,2024-12-31T10:30:00Z,2024,Dec,2024-Dec,2024-12-01
2024-12-30T03:00:00Z,2024-12-30T00:00:00Z,03:00:00,2024,Monday,2024-12-30T15:55:00Z,145760206224,1457602,246169260,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,FRANCISCO ST \ LEAVENWORTH ST,25572000,Central,Russian Hill,3,2,37.80406951904297,-122.41834259033205,2024-12-30T03:00:00Z,2024,Dec,2024-Dec,2024-12-01
2024-12-29T15:30:00Z,2024-12-29T00:00:00Z,15:30:00,2024,Sunday,2024-12-30T09:20:00Z,145749606244,1457496,246169113,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,LOMBARD ST \ SANSOME ST,24870000,Central,Financial District/South Beach,3,3,37.80403137207031,-122.40335083007812,2024-12-29T15:30:00Z,2024,Dec,2024-Dec,2024-12-01
2024-12-24T06:00:00Z,2024-12-24T00:00:00Z,06:00:00,2024,Tuesday,2025-01-01T18:43:00Z,145762206224,1457622,256007478,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,CLAY ST \ SCOTT ST,26819000,Central,Pacific Heights,2,2,37.79008102416992,-122.43913269042967,2024-12-24T06:00:00Z,2024,Dec,2024-Dec,2024-12-01
2024-12-30T03:01:00Z,2024-12-30T00:00:00Z,03:01:00,2024,Monday,2025-01-02T14:04:00Z,145762906224,1457629,256007638,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,CEDAR ST \ LARKIN ST,25172000,Central,Tenderloin,3,6,37.78656768798828,-122.41818237304688,2024-12-30T03:01:00Z,2024,Dec,2024-Dec,2024-12-01
2024-12-26T17:45:00Z,2024-12-26T00:00:00Z,17:45:00,2024,Thursday,2024-12-30T14:49:00Z,145749506224,1457495,246169191,NA,II,Coplogic Initial,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,DRUMM ST \ SACRAMENTO ST,24574000,Central,Financial District/South Beach,3,3,37.79458999633789,-122.3965835571289,2024-12-26T17:45:00Z,2024,Dec,2024-Dec,2024-12-01
2024-03-28T22:00:00Z,2024-03-28T00:00:00Z,22:00:00,2024,Thursday,2025-03-28T23:21:00Z,147290406244,1472904,256030617,NA,II,Coplogic Initial,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,SUTTER ST \ VAN NESS AVE,25219000,Northern,Nob Hill,3,2,37.78754806518555,-122.42176055908205,2024-03-28T22:00:00Z,2024,Mar,2024-Mar,2024-03-01
